concept,manual_coarse_grained,lemma,wiki_frequency,n_wn_senses,min_wn_sim_wup,poly_type,mipvu_met,wn_abs_conc
flame,-,flame,16929,4,0.14285714285714285,homonyms_only_different_pos,non-met,conc
kitchen,-,kitchen,34918,1,1.0,poly,non-met,conc
soup,-,soup,12179,4,0.13333333333333333,poly,oov,abs-conc
candle,-,candle,5981,3,0.10526315789473684,poly,non-met,abs-conc
stove,-,stove,4198,4,0.16666666666666666,homonyms_only_different_pos,oov,conc
oven,,oven,5535,1,1.0,poly,non-met,conc
recorder,2,recorder,11384,4,0.36363636363636365,poly,non-met,conc
newspaper,3,newspaper,157687,4,0.1,poly,non-met,abs-conc
football,3,football,719207,2,0.1,poly,non-met,abs-conc
crypt,3,crypt,7106,1,0.8181818181818182,mon,oov,conc
tyre,3,tyre,7024,2,0.35294117647058826,poly,non-met,conc-n
suit,2,suit,53572,10,0.1111111111111111,homonyms_only_different_pos,met non-met,abs-conc
humans,3,human,86390,4,None,homonyms_only_different_pos,non-met,conc
cricket,2,cricket,121039,3,0.08695652173913043,homonyms_also_same_pos,non-met,abs-conc
night,3,night,326741,8,0.2222222222222222,poly,non-met,abs-n
tank,3,tank,77579,8,0.11764705882352941,poly,non-met,abs-conc
pyramid,3,pyramid,17132,7,0.125,poly,met,abs-n
bus,1,bus,129573,7,0.10526315789473684,homonyms_only_different_pos,non-met,abs-conc
clarinet,2,clarinet,9397,1,1.0,mon,oov,conc
cannon,2,cannon,29118,8,0.09090909090909091,homonyms_only_different_pos,oov,abs-conc
pit,3,pit,36018,14,0.1111111111111111,homonyms_also_same_pos,non-met,abs-conc
tar,3,tar,9890,3,0.21052631578947367,homonyms_only_different_pos,non-met,abs-conc
kingfisher,3,kingfisher,3016,1,1.0,mon,non-met,conc
panther,3,panther,10500,3,0.8125,poly,oov,conc
ring,3,ring,116797,15,0.125,homonyms_also_same_pos,met non-met,abs-conc
jaguars,3,jaguar,7180,1,1.0,mon,oov,conc
leopards,3,leopard,3688,2,0.16,mon,oov,abs-conc
parka,2,parka,1051,1,1.0,poly,oov,conc
nightmare,?,nightmare,9318,2,0.2222222222222222,poly,met non-met,abs
cloak,2,cloak,4920,5,0.25,homonyms_only_different_pos,non-met,conc
taxi,3,taxi,18419,3,0.25,homonyms_only_different_pos,non-met,conc
sun,2,sun,141986,7,0.09523809523809523,homonyms_only_different_pos,met non-met,abs-conc-n
wand,2,wand,2909,4,0.1111111111111111,mon,oov,abs-conc
miner,3,miner,7798,1,1.0,poly,oov,conc
robin,1,robin,49512,2,0.9285714285714286,poly,non-met,conc
hose,2,hose,4659,4,0.5263157894736842,homonyms_also_same_pos,oov,conc
jeans,2,jean,6584,2,0.5882352941176471,oov,non-met,conc
piano,2,piano,93430,4,0.11764705882352941,homonyms_only_different_pos,non-met,abs-conc
sunbeam,3,sunbeam,1958,1,1.0,mon,oov,conc
fox,1,fox,107080,10,0.09090909090909091,homonyms_only_different_pos,oov,abs-conc-n
leafs,2,leafs,8730,6,0.25,oov,oov,abs-conc
blackboard,3,blackboard,1243,1,1.0,mon,oov,conc
heart,1,heart,185139,10,0.11764705882352941,poly,met non-met,abs-conc
sky,2,sky,68976,2,None,homonyms_only_different_pos,non-met,conc
lagoon,3,lagoon,12591,1,1.0,mon,oov,conc
ambulance,2,ambulance,15418,1,1.0,mon,non-met,conc
tires,3,tire,10107,5,0.15384615384615385,homonyms_only_different_pos,oov,conc
diamond,-,diamond,49117,6,0.1,poly,oov,abs-conc
moss,-,moss,19891,1,1.0,poly,oov,conc
raven,-,raven,11726,5,0.2222222222222222,poly,oov,conc
dolphin,-,dolphin,8641,2,0.5625,mon,non-met,conc
